"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010002",1,1,1,"[]","[3,25,27]","[]","[12]","[]","[5]"
"010002",2,1,1,"[]","[3,15,17,21,24,27]","[5,12,15,24,24]","[24,27,27,27]","[18,18,22,24]","[8,21,27]"
"010002",3,1,1,"[16,24]","[15,16,18,20,20,20,22,23,23]","[3,5,14,23,24]","[7,10,13,18,20,21,21,23,26]","[24]","[8,11,21,24,25,26,27]"
"010002",4,1,1,"[13,20,23,26]","[24,25,26,27]","[]","[]","[]","[]"
"010002",5,1,1,"[]","[4]","[25]","[26,27]","[]","[]"
"010002",6,1,1,"[17,21,23,24,24,27,27,27,27]","[3,14,15,23]","[26]","[11,21,21,24,25,27]","[4,18,20,22,23,27]","[14,26]"
"010002",7,1,1,"[10,11,11,15,23,25,26,26,27,27,27,27,27]","[5,19,21,27]","[11,16,16,16]","[14,18,19,19,22,24]","[8,27]","[3,11,27]"
"010002",1,2,1,"[]","[4,8,12]","[11,19,27]","[8,16,23]","[5,9,14,20,20,24]","[5]"
"010002",2,2,1,"[6,6,9,12,15]","[3,4,26,27]","[7,14,21,21,25,25,27,27]","[3,9,13,14,18,25]","[3,6,9,13,17,17,19,20,22,24,26]","[5,8,11,24]"
"010002",3,2,1,"[24]","[]","[]","[]","[]","[3,16,21,25]"
"010002",4,2,1,"[6,6,10,13,16,20,20,24]","[23,23,26]","[15,19]","[3,3,3,17,18,26]","[9,9,12,15,15,21,21,22,23]","[12]"
"010002",5,2,1,"[5,10,12,15,17,18,18,18,19,21,21,22]","[6,7,8,13,15,15,18,22,24,24,27,27]","[3,21]","[6,6]","[13,17,21,21,24,24,24,27,27]","[3,3,4,4,5,10,21,24,24,24,26,27]"
"010002",6,2,1,"[21,26]","[5,6,7,10,12,14,14,16,16,22,23,23,23,27]","[4,9]","[3,3,6,15]","[19,27]","[10,14,23,24,25,25]"
"010002",7,2,1,"[19,19,19,20,26]","[4,5,6,9,13,13,17,23]","[6,12]","[4,18,26,27]","[14,15,15,16,20,22,23,23,25,26,27]","[3,3,3,9,12,23,23,25]"
"010002",1,3,1,"[6,10,10]","[4]","[3]","[15,17,20,21,25,26]","[]","[6,7,18,22,23,23,26]"
"010002",2,3,1,"[4,20,27]","[4]","[25,27]","[4,5,7,8,24,24,24,26,27,27]","[13,15,23,27]","[24,27,27,27,27]"
"010002",3,3,1,"[]","[3,9]","[21,25]","[]","[9]","[6,12,15,18]"
"010002",4,3,1,"[]","[3,4]","[]","[6,25,26]","[4]","[3,6,7,10,10]"
"010002",5,3,1,"[]","[4,27,27]","[3]","[3,8,11,17,20,23,27]","[]","[12]"
"010002",6,3,1,"[]","[26,27,27]","[]","[]","[]","[]"
"010002",7,3,1,"[]","[4,4,5,5,5,13,23,23,24,26,27,27,27,27,27]","[7,9,14,18,19,27]","[17,21,24]","[10,19,21]","[]"
"010002",1,4,1,"[9,12]","[]","[10,25]","[]","[]","[7]"
"010002",2,4,1,"[20,23,24]","[]","[3,6,9,16,20]","[11,13,20]","[15,24,27]","[3,7]"
"010002",3,4,1,"[]","[]","[5]","[]","[]","[5,8,13]"
"010002",4,4,1,"[9,13,18]","[11,23]","[9,9,16,17,19,20,21,21,26]","[]","[12,16,18]","[5,5,5,6,9,9,9,12,12,24,26,27]"
"010002",5,4,1,"[3]","[]","[22,25,26]","[4,8,10,14,18,22,23,23]","[16,17,21]","[3,5,6,9,11,24,27]"
"010002",6,4,1,"[]","[]","[]","[]","[]","[]"
"010002",7,4,1,"[]","[]","[10,13,20,25]","[8]","[15,16,16,17,23]","[16]"
"010002",1,5,1,"[]","[]","[]","[24]","[]","[]"
"010002",2,5,1,"[]","[]","[]","[4,24]","[]","[8]"
"010002",3,5,1,"[]","[]","[27]","[]","[21,26]","[6,8,17,23,24]"
"010002",4,5,1,"[]","[20]","[15,15,18,23,24,27]","[]","[18,21]","[3,3,4,10,19,22]"
"010002",5,5,1,"[24]","[15]","[25]","[22]","[19,22]","[3]"
"010002",6,5,1,"[24]","[25]","[7,7]","[]","[9,10,10]","[3,3,3,3]"
"010002",7,5,1,"[]","[5,19,20]","[4,9,12,13,15,18,22,23,23,24,27,27]","[7,11,23,26]","[27]","[3,3,8,15,18,22,27]"
"010002",1,6,1,"[]","[3,3]","[]","[6]","[26]","[]"
"010002",2,6,1,"[5]","[]","[]","[8,11,15,16,16,18,19]","[5]","[]"
"010002",3,6,1,"[3,5,5]","[]","[3]","[10,13,14,15,17,18,18]","[5]","[]"
"010002",4,6,1,"[15,17,18,18,19]","[3,10,11,14,14]","[20,23,25,26]","[5,5,6,7]","[21,22,25,26,26]","[3,4,15,22,27,27]"
"010002",5,6,1,"[10,14,15,17,18,20]","[24]","[7]","[3,3,4,4,6,7,9,9,14,14,17,27]","[9,18,21,24]","[4,6,7,19,23,23,26,27,27]"
"010002",6,6,1,"[5,8,12,13,15,15,17,18,18,18,18,21,21,22]","[3,4,8,25]","[4,26]","[21,24]","[]","[]"
"010002",7,6,1,"[4,9,14,17]","[22]","[18,25]","[4,5,8]","[11,14,14,15,22]","[27]"
"010002",1,7,1,"[5,8,10,11,11,21,26]","[3,19,27]","[18,26]","[]","[3,4,26]","[7,11,20,23,26]"
"010002",2,7,1,"[]","[20]","[3,4,24,25,26]","[27]","[27]","[]"
"010002",3,7,1,"[7]","[]","[18]","[3,7,15,22,23]","[12,15,24,25,27]","[26,27]"
"010002",4,7,1,"[]","[6,7,7,27]","[]","[5,8,12,25]","[]","[]"
"010002",5,7,1,"[8,13,23,26]","[5,6,11,18,22,26,26,27,27,27]","[17,25,26]","[20]","[15,18,22,26,27]","[3,5,5,20,23]"
"010002",6,7,1,"[13,22,23,25,26,26]","[4,11,12,19]","[9,10,14,14,17,18,19,25]","[12,17,17,22,22]","[23,26,26,27]","[6,8,10,15,16,23,23,26]"
"010002",7,7,1,"[27]","[3,5,7,8,12,13,14,19]","[11]","[10]","[7,22,22,27,27,27]","[8,23]"
"010002",1,8,1,"[6,9,16]","[2,2,8,11,11,13,19,20,22,22,24]","[4,4,4,6,7,10,11,11,13,14,15,15,17,17,17,18,19,21,24]","[4,9,15]","[2,11,12,13,16,17]","[2,17,17,18,19,20]"
"010002",2,8,1,"[2,2,8,8,10,17,21,21,23]","[2,2,3,3,5,5,6,7,16,18,23]","[2,3,3,4,4,6,9,10,12,12,13,14,15,16,16,17,18,19,20,21,23,23]","[8,8,15,15,24,24,24]","[13,15,17,21,24]","[2,6,6,18,19,19,20,20,22]"
"010002",3,8,1,"[4,8,15,24]","[2,6,8]","[2,2,2,4,4,6,9,10,10,10,13,14,14,14,15,16,16,18,18,18,19,19,20,21,21,21,23]","[4,4,6,6,8,12,15,23]","[4,12,15,16,23]","[2,4,7,12,17]"
"010002",4,8,1,"[2,20,24]","[21,24]","[24]","[]","[2,24]","[7,7,13,14,14,15,16,17,22,22,24]"
"010002",5,8,1,"[15,18]","[17,19,20,20,22,22]","[2,15,17,17,20,23]","[5,6,9,24]","[2,4,6,7,8,10,18,21,24]","[7,7,11,13,13,13,15,15,16,24,24]"
"010002",6,8,1,"[3,4,6,6,8,13,14,16,20,21,24,24]","[2,3,8,10,17,18,19,20,21,21]","[4,9,11,12,13,13,13,15,18,18]","[6,13,18,19]","[2]","[19,21]"
"010002",7,8,1,"[]","[6]","[]","[]","[]","[3]"
"010002",1,1,0,"[4,8]","[17]","[14,15]","[16,20]","[]","[12,19,22,25]"
"010002",2,1,0,"[]","[]","[17]","[10]","[13]","[4,7]"
"010002",3,1,0,"[]","[9,23]","[]","[3,26]","[]","[8]"
"010002",4,1,0,"[]","[]","[]","[19,21]","[24,27]","[]"
"010002",5,1,0,"[9,18,21]","[]","[9,10,15,17,18,20]","[12,18,22,26]","[25]","[5,12]"
"010002",6,1,0,"[]","[]","[]","[]","[]","[]"
"010002",7,1,0,"[]","[11,14,20]","[3,6,7,7,8,10,10,14,20]","[23]","[27]","[6,7,9]"
"010002",1,2,0,"[13]","[5,23,24,25]","[3,6,9,13,17,19,20,20,22,23,24,26]","[6,20,23,26,27]","[]","[14,23]"
"010002",2,2,0,"[]","[12,22,24,25]","[8,8,12,15,15,18,22,22,27]","[5,13,16,19]","[15]","[3,7,16,19,21,26]"
"010002",3,2,0,"[9,15,16,20,21]","[3,5,9,9,12,13,14,20]","[23,24,27]","[22]","[9]","[3,6,15,16,19,21,27]"
"010002",4,2,0,"[]","[14,19,22]","[9,22,24,26,27,27,27,27]","[17,20,26,27,27]","[5,5,5,5,5,14,19,22,23,24,24,27,27]","[9,9,22]"
"010002",5,2,0,"[10,16]","[6,10,22,22]","[3,6,9,13,15,17,18,18,19,20,21,23,25,25,25,26,26,26,27,27]","[13,18,26]","[20,21,23,23,26,26,27]","[3,6]"
"010002",6,2,0,"[4,15,16]","[5,8,9,10,10,13,14,14,15,16,18,20,23,27]","[13,17,17,22,23,25,26,27,27]","[3,6,26]","[19,22]","[12,15,16,19,19]"
"010002",7,2,0,"[5,8,14,16,19,22,23,26]","[5,8,22,24,24,25,25,26,27]","[3,8,11,12,14,15,16,18,18,21,22,23,24,24,24,25,26,26,27,27,27]","[27]","[18,19,20,20,22,22,22,23,24,24,25,25,26]","[10,17,20,21,22,23,24,25,26,26,27]"
"010002",1,3,0,"[7,25]","[4,5]","[]","[21]","[7,9,11,11]","[5,8,26]"
