"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010002",1,1,1,0,4,0,1,1,2
"010002",2,1,1,0,0,2,2,4,0
"010002",3,1,1,0,2,6,6,3,2
"010002",4,1,1,0,0,0,0,0,0
"010002",5,1,1,0,0,0,3,1,2
"010002",6,1,1,1,2,0,3,2,3
"010002",7,1,1,7,0,0,3,1,0
"010002",1,2,1,0,0,1,0,0,0
"010002",2,2,1,0,3,4,0,6,0
"010002",3,2,1,0,0,1,0,0,0
"010002",4,2,1,0,0,0,0,0,0
"010002",5,2,1,0,6,2,3,2,11
"010002",6,2,1,0,1,0,1,0,6
"010002",7,2,1,0,0,0,0,0,0
"010002",1,3,1,6,0,0,4,4,4
"010002",2,3,1,1,0,2,4,2,3
"010002",3,3,1,0,0,0,0,0,6
"010002",4,3,1,0,0,0,0,0,3
"010002",5,3,1,0,0,0,0,0,0
"010002",6,3,1,0,0,0,0,0,0
"010002",7,3,1,0,0,0,0,0,0
"010002",1,4,1,7,0,3,1,0,2
"010002",2,4,1,5,0,0,1,0,2
"010002",3,4,1,0,0,0,0,0,2
"010002",4,4,1,1,0,0,1,3,7
"010002",5,4,1,2,0,1,5,5,4
"010002",6,4,1,0,0,0,0,2,0
"010002",7,4,1,1,0,1,1,4,1
"010002",1,5,1,1,0,1,1,1,0
"010002",2,5,1,0,0,0,0,0,6
"010002",3,5,1,0,0,1,3,0,10
"010002",4,5,1,0,0,0,0,0,0
"010002",5,5,1,2,0,0,1,1,0
"010002",6,5,1,0,1,0,0,1,0
"010002",7,5,1,0,0,3,1,0,3
"010002",1,6,1,0,2,0,1,0,0
"010002",2,6,1,1,0,0,3,0,1
"010002",3,6,1,0,1,0,3,0,1
"010002",4,6,1,0,0,0,2,0,3
"010002",5,6,1,1,1,1,7,0,6
"010002",6,6,1,5,1,1,0,0,0
"010002",7,6,1,1,0,0,0,0,1
"010002",1,7,1,6,1,2,1,1,0
"010002",2,7,1,1,0,1,0,0,0
"010002",3,7,1,0,0,1,2,1,1
"010002",4,7,1,0,1,0,0,0,0
"010002",5,7,1,0,1,0,0,0,3
"010002",6,7,1,1,0,0,4,1,4
"010002",7,7,1,0,3,0,0,2,0
"010002",1,8,1,0,0,6,0,0,1
"010002",2,8,1,1,1,7,0,0,0
"010002",3,8,1,0,0,6,1,0,2
"010002",4,8,1,0,0,0,1,0,10
"010002",5,8,1,1,3,0,1,0,7
"010002",6,8,1,0,0,0,0,0,0
"010002",7,8,1,0,0,0,0,0,0
"010002",1,1,0,0,4,0,3,0,2
"010002",2,1,0,0,0,0,0,1,2
"010002",3,1,0,0,0,0,0,0,1
"010002",4,1,0,0,0,0,2,1,0
"010002",5,1,0,0,0,1,0,1,1
"010002",6,1,0,0,0,0,0,0,3
"010002",7,1,0,0,1,2,1,0,3
"010002",1,2,0,0,0,0,0,0,0
"010002",2,2,0,6,0,4,0,0,1
"010002",3,2,0,2,1,2,0,0,2
"010002",4,2,0,0,2,6,0,1,0
"010002",5,2,0,1,3,11,0,3,3
"010002",6,2,0,0,1,6,0,0,0
"010002",7,2,0,4,1,16,0,3,9
"010002",1,3,0,0,1,0,0,1,0
"010002",2,3,0,0,0,0,0,0,0
"010002",3,3,0,0,0,0,0,0,0
"010002",4,3,0,0,0,8,1,0,6
"010002",5,3,0,0,0,12,1,0,4
"010002",6,3,0,0,0,5,0,3,1
"010002",7,3,0,1,1,23,0,6,11
"010002",1,4,0,0,1,0,2,0,1
"010002",2,4,0,0,0,0,0,0,0
"010002",3,4,0,0,0,0,0,0,0
"010002",4,4,0,1,1,0,1,0,2
"010002",5,4,0,0,0,0,0,0,0
"010002",6,4,0,0,0,0,0,0,0
"010002",7,4,0,1,4,0,0,1,1
"010002",1,5,0,1,0,0,2,2,1
"010002",2,5,0,1,5,0,0,1,4
"010002",3,5,0,0,0,0,2,0,1
"010002",4,5,0,5,1,6,0,1,0
"010002",5,5,0,2,1,2,0,1,0
"010002",6,5,0,3,2,0,1,0,0
"010002",7,5,0,4,1,13,4,1,1
"010002",1,6,0,0,0,0,0,0,4
"010002",2,6,0,3,0,0,4,1,6
"010002",3,6,0,0,3,0,8,0,6
"010002",4,6,0,2,0,0,0,0,18
"010002",5,6,0,3,3,0,0,0,12
"010002",6,6,0,5,0,1,10,2,14
"010002",7,6,0,6,2,2,0,1,21
"010002",1,7,0,0,0,4,0,0,0
"010002",2,7,0,2,2,1,9,0,0
"010002",3,7,0,1,0,0,1,0,1
"010002",4,7,0,0,1,0,0,0,1
"010002",5,7,0,0,0,0,1,0,0
"010002",6,7,0,0,4,0,0,0,0
"010002",7,7,0,0,7,5,1,0,1
"010002",1,8,0,0,1,3,1,0,7
"010002",2,8,0,0,0,1,1,2,9
"010002",3,8,0,0,0,11,2,1,10
"010002",4,8,0,7,3,1,2,0,14
"010002",5,8,0,0,4,1,2,0,25
"010002",6,8,0,0,0,5,3,0,23
"010002",7,8,0,5,0,7,3,1,13
"010003",1,1,1,8,2,10,8,0,4
"010003",2,1,1,2,2,12,7,2,2
"010003",3,1,1,3,0,1,0,0,2
"010003",4,1,1,3,0,8,0,0,0
"010003",5,1,1,2,0,7,0,0,8
"010003",6,1,1,1,1,3,3,0,5
"010003",7,1,1,1,1,1,3,1,7
"010003",1,2,1,1,0,0,0,2,12
"010003",2,2,1,3,6,1,1,0,16
"010003",3,2,1,0,1,0,0,1,7
"010003",4,2,1,4,2,0,2,4,2
"010003",5,2,1,2,0,0,0,0,4
"010003",6,2,1,0,0,0,0,0,0
"010003",7,2,1,0,0,0,0,0,1
"010003",1,3,1,0,3,1,1,0,0
"010003",2,3,1,2,0,5,2,0,1
"010003",3,3,1,2,1,4,0,0,2
"010003",4,3,1,3,0,1,1,4,4
"010003",5,3,1,5,1,0,1,2,1
"010003",6,3,1,3,0,0,1,0,0
"010003",7,3,1,0,0,0,1,0,2
"010003",1,4,1,0,0,2,0,0,1
"010003",2,4,1,3,7,6,1,5,12
"010003",3,4,1,0,0,0,0,4,6
"010003",4,4,1,1,1,0,0,1,1
"010003",5,4,1,0,5,10,0,10,8
"010003",6,4,1,1,1,3,1,9,13
"010003",7,4,1,1,0,0,0,2,3
"010003",1,5,1,5,8,1,4,8,5
"010003",2,5,1,11,0,9,4,4,16
"010003",3,5,1,2,3,2,3,3,15
"010003",4,5,1,2,3,2,2,1,2
"010003",5,5,1,1,0,7,1,2,6
"010003",6,5,1,3,4,1,2,4,4
"010003",7,5,1,2,3,0,1,3,7
"010003",1,6,1,1,1,5,9,2,20
"010003",2,6,1,2,0,11,4,3,31
"010003",3,6,1,1,0,1,0,3,19
"010003",4,6,1,1,0,0,7,1,1
"010003",5,6,1,9,4,5,7,0,2
"010003",6,6,1,5,0,0,1,0,6
"010003",7,6,1,6,2,0,9,0,14
"010003",1,7,1,1,0,2,2,5,0
"010003",2,7,1,1,2,10,3,4,3
"010003",3,7,1,0,0,0,0,1,0
"010003",4,7,1,0,0,5,0,8,2
"010003",5,7,1,0,0,10,3,10,1
"010003",6,7,1,3,0,6,1,5,0
"010003",7,7,1,0,0,3,0,0,0
"010003",1,8,1,0,0,0,0,0,0
"010003",2,8,1,5,1,12,0,0,5
"010003",3,8,1,2,0,1,2,0,4
"010003",4,8,1,8,0,3,0,3,1
"010003",5,8,1,3,1,6,8,8,3
"010003",6,8,1,12,0,0,2,0,3
"010003",7,8,1,2,0,0,7,2,18
"010003",1,1,0,0,0,0,0,0,0
"010003",2,1,0,3,2,3,6,13,29
"010003",3,1,0,7,0,2,0,2,16
"010003",4,1,0,2,2,0,1,3,2
"010003",5,1,0,0,0,0,1,1,3
"010003",6,1,0,1,0,0,0,0,0
"010003",7,1,0,0,2,0,0,0,5
"010003",1,2,0,0,3,1,1,1,7
"010003",2,2,0,1,4,2,11,5,14
"010003",3,2,0,1,0,1,4,1,4
"010003",4,2,0,0,3,3,6,12,8
"010003",5,2,0,5,6,3,6,2,8
"010003",6,2,0,6,1,8,9,2,13
"010003",7,2,0,1,4,0,0,0,15
"010003",1,3,0,0,2,0,0,2,12
"010003",2,3,0,6,1,0,11,15,23
"010003",3,3,0,1,1,0,10,1,0
"010003",4,3,0,2,5,0,7,10,26
"010003",5,3,0,3,5,5,12,7,21
"010003",6,3,0,1,10,1,6,2,4
"010003",7,3,0,7,8,1,5,1,29
